Species;EMCF01;EMCF02;EMCF03;EMCF04;EMCF05;EMCF06;EMCF09;EMCF10;EMCF13;EMCF14;EMCF16;EMCF17;EMCF18;EMCF19;EMCF21;EMCF22;EMCF25;EMCF26;EMCF27;EMCF28;EMCF29;EMCF30;EMCF31;EMCF32;EMCF33;EMCF34;EMCF35;EMCF36;EMCF37;KGCF01;KGCF02;KGCF03;KGCF04;KGCF05;KGCF07;KGCF13;KGCF14;KGCF15;KGCF16;KGCF17;KGCF18;KGCF19;KGCF21;KGCF22;KGCF24;KGCF25;KGCF26;KGCF27;KGCF28;KGCF29;KGCF30;KGCF32;KGCF33;KGCF35;KGCF36;KGCF37;KGCF38;KGCF39;KGCF40;KGCF41;KGCF42;KGCF44;KGCF45;KGCF46;KGCF47;KGCF48;KGCF49;KGCF50;KGCF51;KGCF52;KGCF53;KGCF55;KGCF56;KGCF57;KGCF58;MCF01s1;MCF02s1;MCF03s1;MCF04s1;MCF05s1;MCF06s1;MCF07s1;MCF08s1;MCF09s1;MCF10s1;MCF11s1;MCF13s1
NZ_CP027228.1_Mogibacterium_diversum_strain_CCUG_47132_chromosome__complete_genome;6.33065;0.01676;0.37141;0.38765;0.00695;4.97023;1.01255;1.69123;0.01604;0.00092;1.37833;0.35089;0.00008;0.00452;64.79924;0.01069;0.00291;19.80336;0.00539;0.04383;0.02145;0.03911;0.01506;0.2999;0.24076;3.72703;0.03896;0.86166;0.52542;7.46998;0.03561;0.07616;0.04693;2.31773;0.00264;14.92407;720.74122;0.03256;8.19683;0.32959;0.09126;0.92324;19.86409;1.47438;14.23743;153.22665;92.88803;4.41683;6.74787;13.95853;0.17321;0.03546;2.54942;45.73025;0.19412;0.40293;62.7805;0.00091;117.93894;0.00976;0.05149;0.00589;24.92449;0.00444;0;0.04245;0;0.02839;0.37042;0.00764;0.02939;0.05358;0.0072;0.00208;0.02094;0.00097;0;0;0.09399;0.00511;0.06852;0.00665;0;0.47468;0.88031;0.65908;0.00099
NZ_CP032364.1_Lachnoanaerobaculum_umeaense_strain_DSM_23576___CCUG_58757_chromosome__complete_genome;3.34203;0.00641;0.03867;0.15685;0.13105;2.14348;0.99066;0.8743;0.00444;0.00378;7.94203;0.14619;0.003;0.0018;8.92157;0.0063;0.34063;3.89607;0.00174;0.23564;0.06237;4.52869;0.01154;0.29607;0.13749;7.31924;0.02279;0.3637;0.40065;1.10771;0.01466;0.03732;0.25936;2.15463;0.00481;4.08314;70.71194;0.01309;5.70896;22.71859;1.52128;0.78003;23.72492;6.85651;4.93411;52.60374;182.86076;4.19929;5.3145;3.36429;0.07764;0.068;1.43948;6.23266;0.05523;0.06348;29.15026;0.01558;77.97406;0.01218;0.01871;0.01945;54.67528;0.06891;0.00015;1.49925;0.0003;12.92268;14.55264;0.00192;0.35643;3.62584;0.15541;0.0043;0.5067;0.00888;0;0;0.15902;2.022;0.04399;0.09601;0.00011;0.13192;0.29508;0.57911;0.00384
NZ_CP032620.1_Streptococcus_koreensis_strain_KCOM_2890___JS71__chromosome__complete_genome;2.7206;0.01086;0.03772;0.13639;0.48519;0.65041;6.22141;1.75499;0.00662;0.0146;6.25086;0.45835;0.0042;0.02614;3.74145;0.01051;0.11216;1.35621;0.10479;24.73878;3.40151;1.56324;0.02231;1.45853;0.05274;2.47751;0.08557;0.28917;0.17143;0.20064;1.63911;0.0085;2.96478;0.60199;0.04495;6.73192;29.72881;0.11299;14.20593;307.46996;78.31444;0.07015;4.62735;2.62314;3.82191;1.9131;19.90412;2.08344;1.12242;0.39702;0.07447;6.82715;0.62008;2.40957;1.08458;0.12975;1.41507;0.12824;45.4024;0.75121;18.06991;1.27662;38.55213;51.59327;0.02501;9.47797;0.12329;28.168;75.44319;0.27471;1.48766;2.88471;0.06566;0.15483;3.64891;0.11944;0.05683;0;0.32497;1.43588;0.3669;1.28808;0.004;0.05094;0.62247;0.1741;0.25804
NZ_CP031251.1_Neisseria_subflava_strain_M18660_chromosome__complete_genome;2.71697;0.3797;0.02773;0.86958;10.94901;3.08109;2.30772;1.92386;0.15802;0.16807;87.09541;6.07304;0.00062;0.01216;93.39875;0.12037;0.00122;35.86575;1.11682;281.41751;10.9982;28.76641;0.21941;3.76596;0.04073;24.53655;0.30145;13.95628;0.03032;3.64831;0.0173;0.22197;7.48636;2.45348;0.01015;58.26102;1746.15753;0.12123;0.44759;2854.78677;1.25615;0.09008;119.85628;65.66709;8.56434;4.21327;302.08519;29.33537;28.42479;0.71495;0.35148;0.08946;1.40846;1.42459;0.11106;0.46643;7.19537;0.05157;933.39698;0.12082;0.4014;0.01868;241.94357;0.39274;0;132.06029;0.00782;194.01;1133.79544;0.28226;0.02546;0.03456;5.59437;0.00098;0.36413;0.00058;0;34.48129;1.45655;0.01704;4.18928;4.99362;0;0.02016;0.11562;8.48939;2.99369
NZ_LS483444.1_Streptococcus_australis_strain_NCTC13166_chromosome_1;2.37812;0.02484;0.06591;0.32973;2.57734;1.14768;12.34634;2.84187;0.02309;0.02972;14.4988;0.96092;0.00245;0.04175;20.34988;0.01215;0.27384;5.09636;0.13368;72.64104;11.57115;3.0469;0.03065;3.86747;0.05823;4.7394;0.13653;0.66649;0.29297;0.44595;1.44771;0.01659;2.26634;1.23263;0.12397;13.0383;44.25224;0.15541;20.38847;758.75318;125.92059;0.13067;10.98857;5.44785;7.09763;3.43968;49.90474;4.77836;2.58705;0.72879;0.09068;11.09296;1.1878;3.34017;1.80294;0.19555;3.04578;0.20211;99.73765;0.87346;36.20275;1.8424;77.08866;74.08448;0.03214;24.71619;0.30873;81.21273;164.91569;0.68026;1.98753;5.24644;0.14215;0.24458;5.1218;0.07455;0.08888;6.17338;0.85198;2.3795;1.36766;2.6137;0.00427;0.06266;1.80922;0.41527;0.39339
NC_017860.1_Prevotella_intermedia_17_chromosome_I__complete_sequence;1.85417;0.00577;0.14179;0.0367;0.11207;0.44577;0.18125;1.59682;0.00574;0.01349;1.72712;0.09539;0.00912;0.00245;0.83095;0.00345;0.40163;2.73917;0.00422;0.03472;0.0392;0.22222;0.01605;0.30741;0.02857;1.20225;0.06489;0.20013;0.08598;0.81693;0.03239;0.01347;0.22449;1.14861;0;1.1137;17.66537;0.01621;5.05687;32.17049;0.05718;0.14088;2.8072;0.37882;1.46402;5.46791;7.68272;0.49484;1.6403;0.863;0.25917;0.17918;0.41719;2.89633;0.14339;0.14544;9.52617;0.0098;63.28521;0.87937;0.03024;0.10662;4.11722;0.01392;0.0007;0.51576;0.0182;0.58283;0.81401;0.04523;0.11332;0.29649;0.02088;0.05472;0.62795;0.00128;0;0;0.08285;0.42222;0.03739;0.11316;0;0.09529;0.04736;0.36989;0.20967
NZ_LR134266.1_Streptococcus_viridans_strain_NCTC3166_chromosome_1;1.75359;0.024;0.03244;0.29104;1.3077;1.68881;7.70137;1.66804;0.01499;0.01342;10.32293;0.81671;0.00122;0.02882;9.5464;0.01671;0.14525;2.97924;0.07596;75.39446;12.13171;1.70506;0.01467;2.47846;0.02504;4.54584;0.05377;0.3678;0.1504;0.45609;1.55291;0.00867;1.03769;0.72144;0.03887;11.89989;29.19049;0.11361;10.4932;401.16155;66.36675;0.07741;9.42182;3.88948;3.89101;2.56011;39.7473;3.99488;2.25231;0.34326;0.06988;7.05707;0.76418;3.19271;0.81848;0.11045;2.15502;0.10444;68.53131;0.53669;20.66203;1.201;47.13161;98.28426;0.01329;18.25155;0.1434;60.31051;104.87273;0.29783;0.88947;2.3271;0.06009;0.15417;2.48283;0.02351;0.04686;6.6765;0.74456;1.5746;0.93306;2.74121;0.00596;0.03576;1.98468;0.45301;0.18851
NC_013203.1_Atopobium_parvulum_DSM_20469__complete_sequence;1.42264;0.01228;0.18959;0.31991;0.00286;3.49659;3.02845;2.80172;0.00431;0.02063;0.26022;0.0486;0;0.03577;0.01401;0.00573;0.00114;4.23484;0.00317;0.02133;0.08095;0.1603;0.00274;0.10275;0.08152;1.96975;0.09166;0.25875;0.19652;1.83241;0.03986;0.03081;0.07757;1.70456;0.00085;7.36111;483.99885;0.11285;30.64386;0.36727;1.80336;0.91126;4.44119;0.69358;5.17402;6.9099;10.52875;1.55407;0.74006;3.59207;0.19613;7.33569;2.22275;11.54972;0.10735;0.3637;20.67996;0.08829;151.81543;0.15836;0.04353;3.40254;112.31172;183.98993;0.05902;0.00945;0.0041;0.00967;9.87784;0.01748;19.60938;22.58803;0.11684;1.33696;6.66732;0.00205;0;0;0.06095;0.0056;0.01066;0.00335;0.02121;0.34648;0.02118;0.35005;0
NC_009009.1_Streptococcus_sanguinis_SK36__complete_sequence;1.3891;0.10314;0.07571;0.078;0.15843;0.37348;3.73901;0.40984;0.00906;0.07052;0.50608;0.25437;0.00114;0.01625;0.20726;0.00825;0.04209;0.16467;0.11277;4.7745;3.54147;0.6496;0.08841;0.21119;0.03898;1.40384;0.13368;0.08187;0.1042;0.33278;0.1166;0.00909;9.03071;0.95763;0.02394;0.39831;9.91886;0.0359;2.54004;36.95351;11.99625;0.04646;0.44584;0.4477;3.84664;0.86562;1.18434;0.42498;1.30234;1.24394;0.02072;1.58283;1.76653;1.16473;3.68394;0.05483;0.40919;0.19578;16.25489;0.20215;3.25874;0.15949;5.90319;8.18327;0.00445;0.28785;0.0288;0.99013;7.63303;0.10169;0.25887;1.22443;0.01216;0.03415;0.67897;0.01239;0.02413;0;0.2823;0.22874;14.64099;0.08046;0.00025;0.05697;0.05313;0.061;0.08613
NC_013520.1_Veillonella_parvula_DSM_2008__complete_sequence;1.315;0.00628;0.08288;0.24047;0.19611;0.95369;12.83641;1.45993;0.02185;0.00878;5.5041;0.28846;0.04666;0.05372;25.74999;0.00683;0.04963;1.30208;0.01034;0.50623;0.48943;2.19891;0.0677;1.18904;0.03935;6.06443;0.01533;0.97387;0.19912;0.437;0.22577;0.01785;0.63892;0.844;0.36433;4.74639;111.96499;0.14983;16.49174;522.29084;74.87052;0.12886;10.40644;1.92121;4.66892;3.53005;25.97495;3.16924;2.00228;1.47323;0.0527;6.86635;0.80945;3.1287;0.58169;0.11972;5.94932;0.35894;67.03644;0.65242;15.82142;0.55048;63.29069;10.56358;0.00077;1.07043;0.03761;11.35182;78.11817;0.01844;0.7136;2.92775;0.088;0.13212;2.21614;0.01268;0;0;0.32496;4.58443;0.15455;0.02591;0.06814;0.09294;0.49063;0.49;0.00908
NZ_LT635457.1_Actinomyces_pacaensis_strain_Marseille_P2985T_chromosome_contig00001;1.28394;0.01196;0.22366;0.25541;0.08898;4.92152;16.15464;1.35847;0.01451;0.01314;2.959;0.07641;0;0.02059;82.37152;0.01192;0.00037;0.91828;0.02976;1.75106;0.10376;0.00763;0.021;0.67498;0.08439;7.29391;0.01633;1.51505;0.17808;2.24181;2.96649;0.0281;0.42409;1.51585;0.00046;26.81347;346.44716;0.62762;24.62618;34.90221;1422.72263;0.40504;11.32877;3.45356;3.58005;10.59054;85.01028;4.36555;4.57438;1.97015;0.15704;14.62719;3.78433;12.21319;0.86539;0.34578;39.64969;0.03614;152.28732;0.18311;64.23158;1.24034;215.60095;0.33686;0;1.829;0.00045;16.40644;7.21948;0.01019;0.89331;5.08531;0.04746;0.5008;8.26516;0.00078;0;0;0.10058;7.84648;0.09671;0.00365;0;0.10158;0.09748;0.52113;0
NC_015291.1_Streptococcus_oralis_Uo5__complete_genome;1.19287;0.08086;0.20911;0.60578;2.25909;3.10619;43.28721;4.17267;0.01274;0.03038;5.66299;0.27048;0.02248;0.3488;2.85864;0.05014;0.15559;1.20353;0.47756;17.6343;7.77858;22.62899;0.4311;0.56064;0.0682;7.65497;1.42662;0.33152;0.1603;1.08029;1.17955;0.05728;17.42796;1.01252;0.43447;5.33315;47.76144;0.30821;31.04743;354.39585;183.90728;0.47914;11.17021;7.07485;7.4885;9.84328;21.1458;14.75795;5.88065;1.10544;0.35591;29.16903;4.51203;3.80448;11.25496;1.02334;3.9543;1.23248;71.3197;6.48756;27.49986;5.33146;65.95465;112.08156;0.09554;10.48801;0.34155;22.48989;137.55091;5.56929;2.30186;3.53473;0.20519;0.70444;6.12459;0.4132;0.54082;0;0.73752;5.58076;1.28035;4.26311;0.00927;0.18817;0.46511;0.29033;1.70429
NZ_LR134384.1_Prevotella_oris_strain_NCTC13071_chromosome_1;1.1652;0.01308;0.38322;0.08751;0.03145;0.78331;2.1721;1.23147;0.00158;0.55353;1.20966;0.07609;0.01922;0.01803;12.95634;0.00838;0.25663;1.51122;0.02319;0.04331;0.28993;0.86212;0.14122;0.17588;0.07027;1.056;0.05498;0.24468;0.15504;0.64024;0.06749;0.02518;0.21408;1.3619;0.00041;1.79688;45.35821;0.05363;7.57445;13.20341;0.1203;0.43038;2.26163;0.4662;2.98241;12.04826;8.16972;0.44197;0.89458;1.56395;1.52614;0.03999;0.89283;4.15681;0.02608;0.17116;15.57206;0.15185;70.41767;0.34724;0.01752;0.10054;15.17224;0.01019;0;0.53198;0.00573;0.91988;3.31129;0.01192;0.42659;0.98404;0.05411;0.07962;0.7187;0.00349;0;4.21169;0.27823;1.22133;0.03471;0.07627;0;0.1839;0.12908;0.20333;0.07885
NZ_CP012074.1_Prevotella_fusca_JCM_17724_strain_W1435_chromosome_1__complete_sequence;1.15018;0.0054;0.07193;0.07355;0.13005;0.75681;0.431;1.47545;0.00273;0.01314;1.54048;0.07603;0.00321;0.00311;0.60799;0.00016;0.13274;1.10826;0.01473;0.03002;0.01864;0.82241;0.00956;0.19222;0.02335;0.80493;0.0365;0.04968;0.07139;0.30463;0.01512;0.01014;0.11337;0.55165;0.00024;1.66586;38.96636;0.01585;5.44308;7.70147;0.27193;0.10893;2.28659;0.42839;1.69393;7.94922;4.05172;0.29402;0.37809;1.61271;0.09361;0.09089;0.46753;1.92604;0.08216;0.07356;12.59568;0.01411;46.95146;0.09695;0.03356;0.24704;14.40604;0.00441;0;0.93213;0.00416;1.35808;2.74555;0.07085;0.24971;1.40111;0.02543;0.1896;1.76176;0.00044;0;0;0.05336;0.28666;0.02898;0.07207;0;0.11505;0.14213;0.21376;0.0746
NC_013853.1_Streptococcus_mitis_B6__complete_genome;1.11021;0.52872;1.01124;5.4307;28.00803;23.87971;269.65642;35.22136;0.00698;0.08732;24.17736;1.40792;0.00206;0.09923;2.36681;0.30389;0.31517;0.79167;3.31489;33.11641;2.78598;3.47155;3.4085;0.6097;0.47727;24.47018;11.93857;0.57814;0.18501;2.03695;7.98662;0.34747;261.05115;0.58144;4.15808;9.36918;293.9367;2.55475;112.96749;909.08405;374.28408;3.26348;33.73421;28.0388;18.42484;31.11117;29.73956;84.90485;42.57004;8.6751;3.32491;150.36471;25.79429;6.40193;167.27397;9.71203;5.19657;10.54592;144.70333;123.16628;103.30969;39.89509;179.9453;149.39698;1.13937;40.1545;3.85245;60.58919;262.57486;38.75344;20.97444;10.67266;1.20007;8.71625;39.86086;1.90546;3.57415;55.94478;1.04692;3.55968;3.68129;38.81841;0.10956;1.41454;0.50106;0.95795;18.09812
NZ_LR134378.1_Lautropia_mirabilis_strain_NCTC12852_chromosome_1;1.07542;0.16029;0.1189;0.10868;0.37399;0.11941;46.91738;0.30974;0.02938;0.67369;0.07509;1.65944;0.05971;0.02288;86.42673;0.00819;0;1.04953;0.11116;4.45152;5.75075;0.84801;0.06373;2.04851;0.00267;7.41188;0.70389;0.10212;0.09368;0.86883;0.00148;0.02776;1.24301;18.96905;0.00041;1.14384;0.00708;0.00457;0.01213;0.00993;0;0.76086;0.7797;3.05743;9.20973;5.11415;3.44656;0.38116;5.83998;0.74257;0.51709;0.01768;35.68226;5.60254;0.01342;0.15452;3.54408;0.0006;78.58475;0.01869;0.0829;0.00262;15.69003;0.04071;0;0;0.00013;0;0.70577;0.00049;0.00026;0.26016;0;0.08333;0.00107;0.0004;0.00008;0;0.345;0.00039;18.94827;0.00109;0;0.02381;0.42176;0.51924;0.00014
NC_015875.1_Streptococcus_pseudopneumoniae_IS7493__complete_sequence;1.00254;1.45814;0.60924;5.10752;87.95097;25.27434;358.8009;72.67578;0.0038;0.35244;21.69676;2.42822;0.00163;0.1138;0.71071;0.53911;0.23154;0.40025;10.18928;31.47759;1.93351;1.30924;7.75305;0.85284;0.46565;19.87022;20.03261;0.88505;0.14176;2.2616;3.73209;0.71814;84.19915;0.40528;3.65683;16.06766;70.60413;8.48514;84.03535;469.24386;224.5738;2.84732;34.74724;27.59113;18.08608;69.45866;32.74063;86.41072;89.2931;9.87038;11.68563;106.39867;49.25312;12.26347;51.83595;28.41036;4.58633;10.37851;150.79182;75.44797;45.08012;36.07472;142.17646;109.22438;0.60671;57.49742;2.04572;49.79435;236.089;32.95642;29.99161;10.44253;0.97775;6.65196;29.12042;1.40656;2.75008;24.3637;0.96828;3.02337;6.07638;57.22185;0.08983;3.24634;0.24773;0.91753;13.8283
