pathway_id;pathway_reaction;pathway_completeness_perc;pathway_completeness;pathway_candidate_reaction;pathway_key_reactions
P163-PWY;L-lysine fermentation to acetate and butanoate;25;3/12; 3/12;0/1
P164-PWY;purine nucleobases degradation I (anaerobic);26;4/15; 4/15;0/0
P181-PWY;nicotine degradation I (pyridine pathway);7;(0+1)/14; 0/14;0/0
P183-PWY;catechol degradation to 2-hydroxypentadienoate I;0;0/2; 0/2;0/0
P184-PWY;protocatechuate degradation I (meta-cleavage pathway);0;0/6; 0/6;0/1
P185-PWY;formaldehyde assimilation III (dihydroxyacetone cycle);66;8/12; 8/12;1/1
P201-PWY;nitroglycerin degradation;0;0/5; 0/5;0/0
P203-PWY;sulfur disproportionation I (anaerobic);0;0/1; 0/1;0/0
P21-PWY;pentose phosphate pathway (partial);100;3/3; 3/3;0/0
P221-PWY;octane oxidation;20;1/5; 1/5;0/1
P222-PWY;sulfide oxidation I (to sulfur globules);0;0/1; 0/1;0/0
P224-PWY;dissimilatory sulfate reduction II (to thiosulfate);40;(1+1)/5; 1/5;0/0
P23-PWY;reductive TCA cycle I;25;3/12; 3/12;0/1
P241-PWY;coenzyme B biosynthesis;0;0/16; 0/16;0/0
P261-PWY;coenzyme M biosynthesis I;0;0/7; 0/7;0/0
P282-PWY;nitrite oxidation;0;0/1; 0/1;0/0
P283-PWY;hydrogen oxidation I (aerobic);0;0/1; 0/1;0/0
P2-PWY;citrate lyase activation;0;0/5; 0/5;0/0
P301-PWY;galena oxidation;0;0/1; 0/1;0/0
P302-PWY;L-sorbose degradation;0;0/2; 0/2;0/1
P303-PWY;ammonia oxidation II (anaerobic);0;0/3; 0/3;0/0
P321-PWY;benzoyl-CoA degradation III (anaerobic);22;(1+1)/9; 0/9;0/0
P341-PWY;glycolysis V (Pyrococcus);50;5/10; 5/10;0/2
P342-PWY;orcinol degradation;0;0/4; 0/4;0/0
P343-PWY;resorcinol degradation;0;0/3; 0/3;0/0
P345-PWY;aldoxime degradation;0;0/3; 0/3;0/1
P3-PWY;gallate degradation III (anaerobic);38;(3+2)/13; 3/13;0/0
P401-PWY;cyanide degradation;100;1/1; 1/1;0/0
P421-PWY;4-nitrotoluene degradation I;0;0/3; 0/3;0/0
P42-PWY;incomplete reductive TCA cycle;42;3/7; 3/7;0/0
P481-PWY;adamantanone degradation;0;0/4; 0/4;0/0
P482-PWY;arsonoacetate degradation;0;0/2; 0/2;0/0
P483-PWY;phosphonoacetate degradation;0;0/1; 0/1;0/0
P541-PWY;glycine betaine biosynthesis IV (from glycine);0;0/3; 0/3;0/0
P561-PWY;proline betaine degradation I;0;0/3; 0/3;0/0
P562-PWY;myo-inositol degradation I;0;0/7; 0/7;0/1
P581-PWY;thiocyanate degradation I;0;0/1; 0/1;0/0
P601-PWY;(+)-camphor degradation;0;0/6; 0/6;0/1
P621-PWY;nylon-6 oligomer degradation;0;0/6; 0/6;0/0
P641-PWY;phenylmercury acetate degradation;50;1/2; 1/2;1/1
P661-PWY;dibenzo-p-dioxin degradation;0;0/3; 0/3;0/0
P662-PWY;dibenzofuran degradation;0;0/3; 0/3;0/0
PANTO-PWY;phosphopantothenate biosynthesis I;75;3/4; 3/4;0/0
PARATHION-DEGRADATION-PWY;parathion degradation;0;0/2; 0/2;0/1
PCEDEG-PWY;tetrachloroethene degradation;20;(0+1)/5; 0/5;0/0
PCPDEG-PWY;pentachlorophenol degradation;0;0/9; 0/9;0/1
PHENOLDEG-PWY;phenol degradation II (anaerobic);0;0/4; 0/4;0/1
PHENYLALANINE-DEG1-PWY;L-phenylalanine degradation I (aerobic);0;0/1; 0/1;0/0
PHESYN;L-phenylalanine biosynthesis I;40;2/5; 2/5;1/1
PHOSPHONOTASE-PWY;2-aminoethylphosphonate degradation I;0;0/3; 0/3;0/1
PLPSAL-PWY;pyridoxal 5'-phosphate salvage I;0;0/5; 0/5;0/0
PPGPPMET-PWY;ppGpp metabolism;66;4/6; 4/6;0/0
PROPIONMET-PWY;propanoyl CoA degradation I;33;1/3; 1/3;0/0
PROSYN-PWY;L-proline biosynthesis I (from L-glutamate);66;2/3; 2/3;0/0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY;protocatechuate degradation II (ortho-cleavage pathway);0;0/4; 0/4;0/0
PROUT-PWY;L-proline degradation;0;0/2; 0/2;0/1
PUTDEG-PWY;putrescine degradation I;0;0/2; 0/2;0/0
PWY0-1021;L-alanine biosynthesis III;100;1/1; 1/1;0/0
PWY0-1182;trehalose degradation II (cytosolic);33;1/3; 1/3;0/1
PWY0-1221;putrescine degradation II;0;0/4; 0/4;0/1
PWY0-1241;"ADP-L-glycero-&beta;-D-manno-heptose biosynthesis";0;0/5; 0/5;0/1
PWY0-1261;anhydromuropeptides recycling I;41;5/12; 4/12;0/1
PWY0-1264;biotin-carboxyl carrier protein assembly;66;2/3; 2/3;0/0
PWY0-1275;lipoate biosynthesis and incorporation II;50;1/2; 1/2;0/1
PWY0-1280;ethylene glycol degradation;0;0/2; 0/2;0/0
PWY0-1295;pyrimidine ribonucleosides degradation;66;2/3; 2/3;1/1
PWY0-1296;purine ribonucleosides degradation;71;5/7; 5/7;0/0
PWY0-1299;arginine dependent acid resistance;0;0/1; 0/1;0/0
PWY0-1300;"2-O-&alpha;-mannosyl-D-glycerate degradation";0;0/2; 0/2;0/1
PWY0-1301;melibiose degradation;0;0/1; 0/1;0/0
PWY0-1303;aminopropylcadaverine biosynthesis;0;0/2; 0/2;0/(1-1) with 1 key reactions of unclear state
PWY0-1305;L-glutamate degradation IX (via 4-aminobutanoate);0;0/1; 0/1;0/0
PWY0-1306;L-galactonate degradation;0;0/1; 0/1;0/0
PWY0-1309;chitobiose degradation;0;0/2; 0/2;0/0
PWY0-1312;acetate and ATP formation from acetyl-CoA I;100;3/3; 3/3;0/0
PWY0-1313;acetate conversion to acetyl-CoA;0;0/1; 0/1;0/0
PWY0-1314;fructose degradation;0;0/1; 0/1;0/0
PWY0-1315;L-lactaldehyde degradation (anaerobic);0;0/1; 0/1;0/0
PWY0-1317;L-lactaldehyde degradation (aerobic);0;0/2; 0/2;0/0
PWY0-1319;CDP-diacylglycerol biosynthesis II;25;1/4; 1/4;0/0
PWY0-1321;nitrate reduction III (dissimilatory);0;0/2; 0/2;0/2
PWY0-1324;N-acetylneuraminate and N-acetylmannosamine degradation I;33;1/3; 1/3;0/0
PWY0-1329;succinate to cytochrome bo oxidase electron transfer;100;2/2; 2/2;2/2
PWY0-1334;NADH to cytochrome bd oxidase electron transfer I;100;2/2; 2/2;2/2
PWY0-1335;NADH to cytochrome bo oxidase electron transfer I;100;2/2; 2/2;2/2
PWY0-1336;NADH to fumarate electron transfer;0;0/2; 0/2;0/(2-1) with 1 key reactions of unclear state
PWY0-1337;"oleate &beta;-oxidation";2;1/39; 1/39;0/0
PWY0-1338;polymyxin resistance;42;(2+1)/7; 2/7;0/0
PWY0-1347;NADH to trimethylamine N-oxide electron transfer;0;0/2; 0/2;0/(2-1) with 1 key reactions of unclear state
PWY0-1348;NADH to dimethyl sulfoxide electron transfer;0;0/2; 0/2;0/(2-1) with 1 key reactions of unclear state
PWY0-1352;nitrate reduction VIII (dissimilatory);0;0/2; 0/2;0/(2-1) with 1 key reactions of unclear state
PWY0-1353;succinate to cytochrome bd oxidase electron transfer;100;2/2; 2/2;2/2
PWY0-1355;formate to trimethylamine N-oxide electron transfer;0;0/2; 0/2;0/2
PWY0-1356;formate to dimethyl sulfoxide electron transfer;0;0/2; 0/2;0/2
PWY0-1391;S-methyl-5'-thioadenosine degradation IV;0;0/2; 0/2;0/0
PWY0-1433;tetrahydromonapterin biosynthesis;50;(1+1)/4; 1/4;0/0
PWY0-1465;D-malate degradation;0;0/1; 0/1;0/0
PWY0-1466;trehalose degradation VI (periplasmic);0;0/1; 0/1;0/0
PWY0-1471;uracil degradation III;0;0/3; 0/3;0/0
PWY0-1477;ethanolamine utilization;50;3/6; 3/6;0/0
PWY0-1479;tRNA processing;50;5/10; 5/10;0/0
PWY0-1507;biotin biosynthesis from 8-amino-7-oxononanoate I;0;0/4; 0/4;0/1
PWY0-1517;sedoheptulose bisphosphate bypass;50;1/2; 1/2;0/(1-1) with 1 key reactions of unclear state
PWY0-1527;curcumin degradation;0;0/2; 0/2;0/0
PWY0-1533;methylphosphonate degradation I;0;0/4; 0/4;0/0
PWY0-1534;hydrogen sulfide biosynthesis I;0;0/2; 0/2;0/0
PWY0-1535;D-serine degradation;0;0/1; 0/1;0/0
PWY0-1544;proline to cytochrome bo oxidase electron transfer;50;1/2; 1/2;0/0
PWY0-1545;cardiolipin biosynthesis III;33;1/3; 0/3;1/1
PWY0-1546;muropeptide degradation;0;0/4; 0/4;0/0
PWY0-1554;5-(methoxycarbonylmethoxy)uridine biosynthesis;0;0/3; 0/3;0/0
PWY0-1561;glycerol-3-phosphate to cytochrome bo oxidase electron transfer;100;2/2; 2/2;0/0
PWY0-1565;D-lactate to cytochrome bo oxidase electron transfer;50;1/2; 1/2;0/0
PWY0-1567;NADH to cytochrome bo oxidase electron transfer II;50;1/2; 1/2;0/0
PWY0-1568;NADH to cytochrome bd oxidase electron transfer II;50;1/2; 1/2;0/0
PWY0-1569;autoinducer AI-2 degradation;0;0/3; 0/3;0/0
PWY0-1573;nitrate reduction VIIIb (dissimilatory);0;0/2; 0/2;0/0
PWY0-1576;hydrogen to fumarate electron transfer;0;0/2; 0/2;0/0
PWY0-1577;hydrogen to dimethyl sulfoxide electron transfer;0;0/2; 0/2;0/0
PWY0-1578;hydrogen to trimethylamine N-oxide electron transfer;0;0/2; 0/2;0/0
PWY0-1581;nitrate reduction IX (dissimilatory);50;1/2; 1/2;0/0
PWY0-1582;glycerol-3-phosphate to fumarate electron transfer;50;1/2; 1/2;0/0
PWY0-1584;nitrate reduction X (dissimilatory, periplasmic);66;2/3; 2/3;0/0
PWY0-1585;formate to nitrite electron transfer;33;1/3; 1/3;0/0
PWY0-1586;peptidoglycan maturation (meso-diaminopimelate containing);25;3/12; 3/12;0/0
PWY0-1587;N6-L-threonylcarbamoyladenosine37-modified tRNA biosynthesis;50;1/2; 0/2;0/0
PWY0-1590;NADH to hydrogen peroxide electron transfer;0;0/2; 0/2;0/0
PWY0-1591;glycerol-3-phosphate to hydrogen peroxide electron transport;50;1/2; 1/2;0/0
PWY0-1597;prenylated FMNH2 biosynthesis;0;0/3; 0/3;0/0
PWY0-1599;periplasmic disulfide bond formation;0;0/3; 0/3;0/0
PWY0-1600;periplasmic disulfide bond reduction;0;0/2; 0/2;0/0
PWY0-1601;cadaverine biosynthesis;0;0/1; 0/1;0/0
PWY0-1602;D-gulosides conversion to D-glucosides;0;0/3; 0/3;0/0
PWY0-301;L-ascorbate degradation I (bacterial, anaerobic);0;0/4; 0/4;0/1
PWY0-321;phenylacetate degradation I (aerobic);0;0/9; 0/9;0/0
PWY0-42;2-methylcitrate cycle I;0;0/5; 0/5;0/1
PWY0-43;conversion of succinate to propanoate;0;0/3; 0/3;0/0
PWY0-44;D-allose degradation;0;0/3; 0/3;0/0
PWY0-461;L-lysine degradation I;0;0/7; 0/7;0/1
PWY0-501;lipoate biosynthesis and incorporation I;50;1/2; 1/2;0/0
PWY0-521;fructoselysine and psicoselysine degradation;0;0/3; 0/3;0/0
PWY0-522;lipoate salvage I;0;0/2; 0/2;0/0
PWY0-541;cyclopropane fatty acid (CFA) biosynthesis;0;0/1; 0/1;0/0
PWY0-662;PRPP biosynthesis;100;1/1; 1/1;0/0
PWY0-823;L-arginine degradation III (arginine decarboxylase/agmatinase pathway);0;0/2; 0/2;0/0
PWY0-862;(5Z)-dodecenoate biosynthesis I;0;0/7; 0/7;0/2
PWY0-901;L-selenocysteine biosynthesis I (bacteria);33;1/3; 1/3;0/1
PWY0-981;taurine degradation IV;0;0/1; 0/1;0/0
PWY-1001;cellulose biosynthesis;0;0/1; 0/1;0/0
PWY-101;photosynthesis light reactions;25;1/4; 1/4;0/2
PWY-102;"gibberellin inactivation I (2&beta;-hydroxylation)";45;(2+3)/11; 0/11;0/0
PWY-1081;homogalacturonan degradation;0;0/1; 0/1;0/0
PWY-112;lupeol biosynthesis;0;0/1; 0/1;0/0
PWY-1164;carbon disulfide oxidation I (anaerobic);0;0/2; 0/2;0/0
PWY-116;coniferin metabolism;0;0/2; 0/2;0/0
PWY-1263;taurine degradation I;0;0/1; 0/1;0/0
PWY-1264;taurine degradation II;0;0/1; 0/1;0/0
PWY-1269;CMP-3-deoxy-D-manno-octulosonate biosynthesis;0;0/4; 0/4;0/1
PWY-1281;sulfoacetaldehyde degradation I;50;1/2; 1/2;0/1
PWY1-2;L-alanine degradation IV;0;0/1; 0/1;0/0
PWY-1341;phenylacetate degradation II (anaerobic);25;(0+1)/4; 0/4;0/0
PWY-1361;benzoyl-CoA degradation I (aerobic);14;(0+1)/7; 0/7;0/1
PWY-1381;fluorene degradation II;0;0/2; 0/2;0/0
PWY1-3;polyhydroxybutanoate biosynthesis;0;0/4; 0/4;0/1
PWY-1422;vitamin E biosynthesis (tocopherols);0;0/7; 0/7;0/0
PWY-142;m-xylene degradation (anaerobic);0;0/4; 0/4;0/0
PWY-1501;mandelate degradation I;0;0/5; 0/5;0/1
PWY-1622;formaldehyde assimilation I (serine pathway);41;(4+1)/12; 4/12;0/4
PWY-1641;methane oxidation to methanol I;0;0/1; 0/1;0/0
PWY-1722;formate assimilation into 5,10-methylenetetrahydrofolate;66;2/3; 2/3;0/1
PWY-1723;formaldehyde oxidation VI (H4MPT pathway);0;0/4; 0/4;0/0
PWY-1781;"&beta;-alanine degradation II";0;0/2; 0/2;0/1
